model,scenario_id,tier,recovered,ideal_rebook,left_over_budget,used_cancel,new_budget_eur,final_cost_eur,new_feasible,finished
Qwen2.5-3B,ber-lis-4n-tight,tight,False,False,True,False,200,342.0,False,False
Qwen2.5-3B,ber-lis-4n-generous,generous,True,True,False,False,440,342.0,True,True
Qwen2.5-3B,mun-bar-3n-tight,tight,False,False,True,False,230,463.0,False,False
Qwen2.5-3B,mun-bar-3n-medium,medium,False,False,True,False,300,420.0,False,True
Qwen2.5-3B,ham-rom-5n-medium,medium,False,False,True,False,320,511.0,False,False
Qwen2.5-3B,ham-rom-5n-generous,generous,True,True,False,False,530,353.0,True,True
Falcon3-3B,ber-lis-4n-tight,tight,True,False,False,False,200,,False,True
Falcon3-3B,ber-lis-4n-generous,generous,True,False,False,False,440,,True,True
Falcon3-3B,mun-bar-3n-tight,tight,True,False,False,False,230,,False,True
Falcon3-3B,mun-bar-3n-medium,medium,True,False,False,False,300,,False,True
Falcon3-3B,ham-rom-5n-medium,medium,True,False,False,False,320,,False,True
Falcon3-3B,ham-rom-5n-generous,generous,True,False,False,False,530,,True,True
SmolLM2-1.7B,ber-lis-4n-tight,tight,False,False,False,False,200,,False,False
SmolLM2-1.7B,ber-lis-4n-generous,generous,False,False,False,False,440,,True,False
SmolLM2-1.7B,mun-bar-3n-tight,tight,False,False,False,False,230,,False,False
SmolLM2-1.7B,mun-bar-3n-medium,medium,False,False,False,False,300,,False,False
SmolLM2-1.7B,ham-rom-5n-medium,medium,False,False,False,False,320,,False,False
SmolLM2-1.7B,ham-rom-5n-generous,generous,False,False,False,False,530,,True,False
